,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,27.41,0.0,5.298317366548037
1,0.0,5.298317366548037,0.0,27.41,0.0,5.298317366548037
2,0.0,5.298317366548035,-0.09709101429576036,27.41,0.0,5.298317366548035
3,0.0,5.298317366548035,0.0,27.41,0.0,5.298317366548035
4,0.0,5.298317366548035,0.0,27.41,0.0,5.298317366548035
,no_query,no_query,no_query,no_query,no_query,no_query
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,7.643856189774724,0.0,27.409999999999997,0.0,0.0
1,0.0,7.643856189774724,0.0,27.409999999999997,0.0,0.0
2,0.0,7.643856189774724,0.0,27.409999999999997,0.0,0.0
3,0.0,7.643856189774724,0.0,27.409999999999997,0.0,0.0
4,0.0,7.643856189774724,0.0,27.409999999999997,0.0,0.0
,random,random,random,random,random,random
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,27.41,0.0,0.0
1,0.0,5.298317366548037,0.10811123312232318,27.41,0.0,0.0
2,0.0,5.298317366548035,-0.14096954805075687,27.41,0.0,0.0
3,0.0,5.298317366548035,0.0,27.41,0.0,0.0
4,0.0,5.298317366548035,0.0,27.41,0.0,0.0
,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,27.41,0.0,-2.886579864025406e-17
1,0.0,5.298317366548037,0.0,27.41,0.0,-2.886579864025406e-17
2,0.0,5.298317366548035,0.0,27.41,0.0,-2.886579864025405e-17
3,0.0,5.298317366548035,0.0,27.41,0.0,-2.886579864025405e-17
4,0.0,5.298317366548035,0.0,27.41,0.0,-2.886579864025406e-17
